Chain,PaymentMethod,PurchaseAmount
Regional A,Cash,569.99
Other,Cash,569.99
Major D,StoreCard,558.85
Major D,Check,549.57
Major A,Check,542.41
Regional C,StoreCard,539.36
Other,StoreCard,536.33
Other,Cash,521.28
Major E,DebitCard,519.18
Major A,Cash,516.05
Regional C,StoreCard,515.8
Regional C,StoreCard,512.68
Regional B,Cash,510.67
Major B,Check,509.24
Regional A,Cash,508.59
Major E,StoreCard,507.54
Major D,Check,507.35
Major B,StoreCard,507.28
Major B,Check,506.73
Major B,StoreCard,506.21
Major B,Other,506.01
Major A,Cash,505.82
Other,Check,505.35
Major E,Cash,505.34
Other,DebitCard,505.07
Regional B,Cash,504.98
Major B,StoreCard,504.82
Major A,Cash,504.68
Major B,StoreCard,504.42
Major B,Cash,504.38
Major E,StoreCard,504.21
Regional B,StoreCard,504.13
Regional C,StoreCard,504.08
Major B,Check,504.05
Other,Cash,503.96
Major E,StoreCard,503.62
Major A,Cash,503.4
Major A,DebitCard,503.38
Major B,Cash,503.33
Regional D,StoreCard,503.22
Major A,DebitCard,502.95
Major A,Cash,502.86
Major A,Cash,502.75
Major D,StoreCard,502.48
Major A,StoreCard,502.02
Major E,Check,501.74
Major D,Cash,501.63
Major E,StoreCard,501.55
Other,Check,501.45
Major B,StoreCard,501.45
Major A,Cash,501.38
Major E,Check,500.87
Other,StoreCard,500.66
Major E,Cash,500.54
Major A,DebitCard,500.47
Major D,StoreCard,500.36
Regional C,Cash,500.24
Regional B,Check,500.06
Other,StoreCard,500.02
Major A,Cash,499.75
Major E,StoreCard,499.34
Major A,Cash,499.05
Other,Check,499.04
Regional D,StoreCard,498.75
Other,DebitCard,498.63
Other,Cash,498.6
Other,Cash,498.57
Major D,Check,498.43
Regional C,StoreCard,498.27
Other,Check,497.87
Major A,Cash,497.84
Regional D,StoreCard,497.67
Regional A,Cash,497.61
Regional C,Cash,497.37
Regional A,StoreCard,497.2
Major B,StoreCard,497.18
Major A,Cash,497.17
Major A,DebitCard,496.94
Other,Cash,496.76
Major E,StoreCard,496.71
Major E,StoreCard,496.49
Major A,Cash,496.26
Regional D,Check,495.99
Major A,Check,495.94
Other,DebitCard,495.88
Major E,StoreCard,495.56
Regional C,Cash,495.32
Regional C,DebitCard,495.32
Major A,Cash,495.28
Regional D,StoreCard,495.27
Other,Cash,495.21
Regional D,Cash,495.2
Regional D,Check,495.09
Major D,Check,494.94
Regional C,DebitCard,494.87
Major A,Cash,494.49
Regional B,StoreCard,494.43
Major B,StoreCard,494.11
Regional C,Cash,494
Major D,StoreCard,493.94
Major A,Cash,493.82
Major A,DebitCard,493.82
Major A,Cash,493.76
Major D,StoreCard,493.68
Major D,StoreCard,492.06
Regional D,Cash,491.99
Major E,StoreCard,490.95
Major A,Cash,489.84
Major E,StoreCard,488.79
Other,Check,487.95
Major B,Cash,486.91
Major B,StoreCard,486.46
Other,Cash,485.27
Major E,StoreCard,484.06
Major B,Cash,483.03
Major A,Cash,482.83
Major A,Cash,480.76
Other,Cash,477.72
Major B,StoreCard,475.6
Major D,StoreCard,470.14
Regional B,DebitCard,469.45
Major A,Cash,464.35
Regional A,Check,456.34
Major A,DebitCard,454.66
Major E,StoreCard,453.19
Major E,Check,446.57
Other,Cash,446.35
Major D,StoreCard,444.22
Major A,Check,440.94
Regional D,StoreCard,440.2
Other,Cash,433.2
Regional D,StoreCard,423.85
Regional A,StoreCard,421.54
Other,Cash,411.48
Major A,DebitCard,409.5
Major A,Cash,408.62
Other,Cash,408.6
Major A,Cash,408.56
Regional A,Cash,408.48
Minor B,Cash,407.64
Other,Cash,406.5
Major B,Check,406.33
Major A,Cash,405.85
Major E,Cash,405.47
Regional B,Cash,405.41
Regional C,Cash,405.11
Major A,Cash,404.71
Major A,StoreCard,404.71
Major B,StoreCard,404.52
Major D,Cash,403.65
Major D,DebitCard,403.06
Major A,Cash,402.88
Major A,DebitCard,402.76
Other,Cash,401.78
Major A,Cash,401.57
Major E,Check,401.33
Major B,StoreCard,400.97
Major A,Cash,400.88
Other,Cash,400.83
Major E,Cash,400.72
Minor B,Cash,399.86
Other,Check,399.79
Major B,Check,399.67
Major B,StoreCard,399.65
Major A,Cash,398.91
Major D,Check,398.26
Major A,Cash,398.26
Other,Cash,398.25
Regional D,Cash,397.63
Major D,StoreCard,397.25
Major A,Cash,397.22
Regional D,Cash,395.65
Major A,DebitCard,395.54
Major B,Check,395.48
Major B,Cash,395.12
Major B,Cash,394.56
Major A,Cash,394.4
Major B,StoreCard,394.04
Major B,Check,393.55
Major A,Cash,392.74
Major B,Check,392.41
Major D,Cash,391.99
Major A,Cash,391.78
Major E,StoreCard,391.59
Major E,Cash,390.26
Major E,StoreCard,385.73
Major B,StoreCard,384.77
Regional A,StoreCard,378.23
Major E,StoreCard,376.93
Major A,Cash,372.75
Other,Cash,372.43
Regional B,Cash,369.93
Major A,Cash,365.59
Regional B,Check,364.42
Major D,Cash,362.4
Major B,StoreCard,360.65
Major B,StoreCard,358.97
Other,Cash,358.49
Major E,Cash,358.04
Major D,Check,357.53
Regional D,Check,356.63
Other,Cash,355.78
Major A,Cash,355.6
Major A,Cash,354.63
Major B,StoreCard,354.46
Other,Cash,354.13
Other,Cash,354.04
Major A,DebitCard,353.62
Major D,Cash,351.83
Major B,Check,351.6
Major E,Cash,351.28
Major B,StoreCard,349.4
Major A,Cash,348.96
Minor C,Check,347.38
Regional D,Cash,346.41
Major E,Check,342.84
Major A,DebitCard,340.02
Major A,Check,335.35
Regional D,StoreCard,334.67
Major D,StoreCard,332.72
Major D,Check,330.7
Major D,StoreCard,328.77
Regional D,Cash,328.65
Major A,Check,327.02
Major D,Check,324.41
Major D,StoreCard,322.71
Major B,StoreCard,322.42
Major B,StoreCard,321.11
Major B,Cash,318.33
Major B,Check,318.33
Major D,StoreCard,318.23
Regional B,Cash,317.05
Major A,Cash,317.01
Regional C,StoreCard,315.4
Major A,Cash,313.31
Major A,Cash,312.65
Major B,StoreCard,312.26
Major A,Cash,311.52
Major A,DebitCard,309.75
Major B,DebitCard,309.66
Major D,StoreCard,308.9
Major A,Cash,308.24
Major A,Cash,308.09
Major D,Cash,307.85
Major A,DebitCard,307.75
Regional B,Check,307.31
Major D,StoreCard,307.29
Major E,DebitCard,306.48
Major E,StoreCard,306.31
Major E,Cash,306.27
Regional D,Check,305.99
Major B,Check,305.85
Major B,Cash,305.59
Other,Cash,305.4
Major E,Cash,305.3
Regional C,Cash,304.38
Major A,Check,304.28
Major D,StoreCard,303.77
Regional C,Cash,303.75
Major B,Cash,303.11
Major A,Cash,303.09
Major A,Cash,302.75
Major A,Cash,302.74
Major D,Check,302.46
Major A,Cash,302.33
Regional D,StoreCard,302.18
Major E,StoreCard,302.09
Major E,Check,301.64
Major A,Cash,301.37
Major D,StoreCard,301.13
Other,Check,300.99
Major B,Cash,300.9
Major B,StoreCard,300.77
Major A,Cash,299.99
Major E,StoreCard,299.94
Major D,StoreCard,299.73
Major D,Check,298.74
Major A,Check,298.61
Major E,StoreCard,297.52
Regional A,Cash,297.49
Major D,Cash,297.31
Major B,Cash,296.78
Major A,Cash,296.72
Major E,Check,296.68
Other,Check,296.68
Other,Cash,295.95
Major E,StoreCard,295.67
Major B,StoreCard,295.56
Other,Cash,294.87
Other,Cash,294.71
Major D,DebitCard,294.68
Major D,Check,294.66
Regional B,Cash,294.49
Regional A,StoreCard,293.99
Major D,Cash,293.04
Major D,Check,292.72
Major B,Check,292.7
Major D,Check,292.67
Regional D,Check,292.55
Major A,DebitCard,292
Other,Cash,291.94
Regional C,Cash,291.64
Other,Check,291.49
Regional C,StoreCard,291.3
Other,Check,291.27
Regional A,Cash,291.25
Other,Cash,291.19
Regional D,Cash,291.09
Other,Cash,291.03
Major B,Cash,290.78
Major D,Check,290.48
Other,Cash,290.07
Regional D,Check,290.06
Regional C,StoreCard,289.08
Regional C,Check,288.71
Major E,Check,287.86
Major B,StoreCard,287.35
Other,Cash,286.95
Regional D,Cash,286.34
Major A,Check,285.27
Regional D,Cash,284.19
Other,Cash,283.01
Other,Cash,282.08
Major B,StoreCard,279.59
Other,StoreCard,279.05
Major A,Cash,278.29
Major E,StoreCard,277.95
