cereals,variables,value
Trix,Protein,1
Trix,Fat,1
Trix,Sodium,140
Trix,Fiber,0
Trix,Carbohydrates,13
Trix,Sugars,12
Trix,Potassium,25
Trix,Vitamins,25
All-Bran with Extra Fiber,Protein,40
All-Bran with Extra Fiber,Fat,0
All-Bran with Extra Fiber,Sodium,140
All-Bran with Extra Fiber,Fiber,14
All-Bran with Extra Fiber,Carbohydrates,8
All-Bran with Extra Fiber,Sugars,0
All-Bran with Extra Fiber,Potassium,330
All-Bran with Extra Fiber,Vitamins,25
Mueslix Crispy Blend,Protein,3
Mueslix Crispy Blend,Fat,2
Mueslix Crispy Blend,Sodium,150
Mueslix Crispy Blend,Fiber,3
Mueslix Crispy Blend,Carbohydrates,17
Mueslix Crispy Blend,Sugars,13
Mueslix Crispy Blend,Potassium,160
Mueslix Crispy Blend,Vitamins,25
Quaker Oatmeal,Protein,5
Quaker Oatmeal,Fat,2
Quaker Oatmeal,Sodium,0
Quaker Oatmeal,Fiber,2.7
Quaker Oatmeal,Carbohydrates,-1
Quaker Oatmeal,Sugars,-1
Quaker Oatmeal,Potassium,110
Quaker Oatmeal,Vitamins,0
Nutri-grain Wheat,Protein,3
Nutri-grain Wheat,Fat,0
Nutri-grain Wheat,Sodium,170
Nutri-grain Wheat,Fiber,3
Nutri-grain Wheat,Carbohydrates,18
Nutri-grain Wheat,Sugars,2
Nutri-grain Wheat,Potassium,90
Nutri-grain Wheat,Vitamins,25
Raisin Bran,Protein,3
Raisin Bran,Fat,1
Raisin Bran,Sodium,210
Raisin Bran,Fiber,5
Raisin Bran,Carbohydrates,14
Raisin Bran,Sugars,12
Raisin Bran,Potassium,240
Raisin Bran,Vitamins,25
Smacks,Protein,2
Smacks,Fat,1
Smacks,Sodium,70
Smacks,Fiber,1
Smacks,Carbohydrates,9
Smacks,Sugars,15
Smacks,Potassium,40
Smacks,Vitamins,25
Maypo,Protein,4
Maypo,Fat,1
Maypo,Sodium,0
Maypo,Fiber,0
Maypo,Carbohydrates,16
Maypo,Sugars,3
Maypo,Potassium,95
Maypo,Vitamins,25
